CVIL1;CPAYS1;VIL1;CVIL2;CPAYS2;VIL2;NBPA2000;DKM
string;string;string;string;string;string;int;int
PUS;KORR;PUSAN;SEL;KORR;SEOUL **;6 039 947;337
FLL;UNST;FORT LAUDERDALE;NYC;UNST;NEW YORK **;5 523 884;1 728
HKG;HONG;HONG KONG;TPE;TAIW;TAIPEI;5 503 393;805
CHI;UNST;CHICAGO **;NYC;UNST;NEW YORK **;5 261 996;1 145
NYC;UNST;NEW YORK **;ORL;UNST;ORLANDO;5 101 102;1 514
LAX;UNST;LOS ANGELES **;NYC;UNST;NEW YORK **;5 064 576;3 953
BOS;UNST;BOSTON;NYC;UNST;NEW YORK **;5 009 576;306
CJU;KORR;CHEJU;SEL;KORR;SEOUL **;4 878 284;451
ATL;UNST;ATLANTA;NYC;UNST;NEW YORK **;4 875 728;1 214
NYC;UNST;NEW YORK **;WAS;UNST;WASHINGTON **;4 416 318;346
LON;UNKG;LONDON **;NYC;UNST;NEW YORK **;4 224 695;5 524
DUB;IRLD;DUBLIN;LON;UNKG;LONDON **;4 086 874;438
NYC;UNST;NEW YORK **;SFO;UNST;SAN FRANCISCO;3 947 664;4 130
BCN;SPAN;BARCELONA;MAD;SPAN;MADRID **;3 895 029;484
LAS;UNST;LAS VEGAS;LAX;UNST;LOS ANGELES **;3 692 288;379
NCE;FRAN;NICE;PAR;FRAN;PARIS **;3 396 575;674
AMS;NETH;AMSTERDAM;LON;UNKG;LONDON **;3 211 514;401
LAX;UNST;LOS ANGELES **;OAK;UNST;OAKLAND;3 132 878;543
MRS;FRAN;MARSEILLE;PAR;FRAN;PARIS **;2 989 006;628
PAR;FRAN;PARIS **;TLS;FRAN;TOULOUSE;2 982 057;574
NYC;UNST;NEW YORK **;PBI;UNST;PALM BEACH;2 935 854;1 661
LON;UNKG;LONDON **;PAR;FRAN;PARIS **;2 923 631;365
MIA;UNST;MIAMI **;NYC;UNST;NEW YORK **;2 879 834;1 760
LAS;UNST;LAS VEGAS;NYC;UNST;NEW YORK **;2 877 710;3 590
LAX;UNST;LOS ANGELES **;SFO;UNST;SAN FRANCISCO;2 788 222;544
CHI;UNST;CHICAGO **;LAX;UNST;LOS ANGELES **;2 715 870;2 820
BKK;THAI;BANGKOK;HKG;HONG;HONG KONG;2 664 922;1 712
ATL;UNST;ATLANTA;CHI;UNST;CHICAGO **;2 622 032;955
BOS;UNST;BOSTON;WAS;UNST;WASHINGTON **;2 609 158;653
CHI;UNST;CHICAGO **;DET;UNST;DETROIT **;2 608 366;356
NYC;UNST;NEW YORK **;TPA;UNST;TAMPA, FL **;2 579 310;1 621
CHI;UNST;CHICAGO **;MSP;UNST;MINNEAPOLIS;2 521 894;563
EDI;UNKG;EDINBURGH;LON;UNKG;LONDON **;2 514 905;543
LAX;UNST;LOS ANGELES **;PHX;UNST;PHOENIX;2 460 392;591
ATL;UNST;ATLANTA;WAS;UNST;WASHINGTON **;2 458 416;868
CHI;UNST;CHICAGO **;LAS;UNST;LAS VEGAS;2 370 694;2 452
LAX;UNST;LOS ANGELES **;SJC;UNST;SAN JOSE;2 319 872;495
GLA;UNKG;GLASGOW **;LON;UNKG;LONDON **;2 253 314;559
SEL;KORR;SEOUL **;TYO;JAPN;TOKYO **;2 243 452;1 178
KUL;MALB;KUALA LUMPUR;SIN;SING;SINGAPORE **;2 192 910;321
CHI;UNST;CHICAGO **;DAL;UNST;DALLAS **;2 192 674;1 291
BKK;THAI;BANGKOK;SIN;SING;SINGAPORE **;2 190 258;1 445
CHI;UNST;CHICAGO **;PHX;UNST;PHOENIX;2 155 066;2 332
CHI;UNST;CHICAGO **;ORL;UNST;ORLANDO;2 148 600;1 586
FRA;GERF;FRANKFURT;LON;UNKG;LONDON **;2 066 675;675
ATL;UNST;ATLANTA;DAL;UNST;DALLAS **;2 057 730;1 172
LAS;UNST;LAS VEGAS;PHX;UNST;PHOENIX;2 048 078;410
SAN;UNST;SAN DIEGO;SFO;UNST;SAN FRANCISCO;2 033 994;719
LAX;UNST;LOS ANGELES **;SEA;UNST;SEATTLE;2 017 004;1 537
HNL;UNST;HONOLULU;TYO;JAPN;TOKYO **;1 998 368;6 187
HKG;HONG;HONG KONG;SIN;SING;SINGAPORE **;1 992 173;2 580
CHI;UNST;CHICAGO **;SFO;UNST;SAN FRANCISCO;1 991 938;2 986
CHI;UNST;CHICAGO **;WAS;UNST;WASHINGTON **;1 972 974;940
CHI;UNST;CHICAGO **;DEN;UNST;DENVER;1 946 408;1 467
BWI;UNST;BALTIMORE;CHI;UNST;CHICAGO **;1 934 066;973
JKT;INDO;JAKARTA **;SIN;SING;SINGAPORE **;1 928 486;891
CHI;UNST;CHICAGO **;STL;UNST;ST LOUIS;1 889 872;417
OSA;JAPN;OSAKA **;PUS;KORR;PUSAN;1 882 578;575
HKG;HONG;HONG KONG;TYO;JAPN;TOKYO **;1 874 874;2 874
JED;SAUD;JEDDAH;RUH;SAUD;RIYADH;1 828 000;846
LAS;UNST;LAS VEGAS;SFO;UNST;SAN FRANCISCO;1 823 416;664
CHI;UNST;CHICAGO **;CLE;UNST;CLEVELAND;1 821 924;483
SJC;UNST;SAN JOSE;SNA;UNST;ORANGE COUNT;1 764 482;549
TPE;TAIW;TAIPEI;TYO;JAPN;TOKYO **;1 757 905;2 096
SEL;KORR;SEOUL **;TAE;KORR;TAEGU;1 745 358;264
BUR;UNST;BURBANK;OAK;UNST;OAKLAND;1 737 994;523
CHI;UNST;CHICAGO **;MKC;UNST;KANSAS CITY;1 731 112;662
SAN;UNST;SAN DIEGO;SJC;UNST;SAN JOSE;1 723 836;670
FRA;GERF;FRANKFURT;BER;GERF;BERLIN **;1 723 681;433
DEN;UNST;DENVER;NYC;UNST;NEW YORK **;1 721 958;2 609
HOU;UNST;HOUSTON **;NYC;UNST;NEW YORK **;1 712 874;2 286
ATL;UNST;ATLANTA;PHL;UNST;PHILADELPHIA;1 712 274;1 072
ATL;UNST;ATLANTA;BOS;UNST;BOSTON;1 710 154;1 520
CJU;KORR;CHEJU;PUS;KORR;PUSAN;1 697 282;306
LON;UNKG;LONDON **;MAN;UNKG;MANCHESTER;1 670 395;248
LAX;UNST;LOS ANGELES **;SMF;UNST;SACRAMENTO;1 647 314;580
LON;UNKG;LONDON **;MIL;ITAL;MILANO **;1 646 345;965
SEA;UNST;SEATTLE;SFO;UNST;SAN FRANCISCO;1 639 308;1 093
LON;UNKG;LONDON **;ROM;ITAL;ROMA **;1 637 769;1 448
BOD;FRAN;BORDEAUX;PAR;FRAN;PARIS **;1 626 800;493
OSA;JAPN;OSAKA **;SEL;KORR;SEOUL **;1 622 177;833
HOU;UNST;HOUSTON **;MSY;UNST;NEW ORLEANS;1 609 314;487
CHI;UNST;CHICAGO **;PHL;UNST;PHILADELPHIA;1 609 000;1 064
BOS;UNST;BOSTON;CHI;UNST;CHICAGO **;1 608 278;1 370
NYC;UNST;NEW YORK **;PAR;FRAN;PARIS **;1 580 455;5 837
KWJ;KORR;KWANGJU;SEL;KORR;SEOUL **;1 577 133;270
LON;UNKG;LONDON **;MAD;SPAN;MADRID **;1 574 841;1 222
AUS;UNST;AUSTIN;DAL;UNST;DALLAS **;1 567 694;301
BWI;UNST;BALTIMORE;PVD;UNST;PROVIDENCE;1 565 272;526
MAD;SPAN;MADRID **;PAR;FRAN;PARIS **;1 565 263;1 031
BFS;UNKG;BELFAST **;LON;UNKG;LONDON **;1 554 076;505
OAK;UNST;OAKLAND;SNA;UNST;ORANGE COUNT;1 548 148;597
PHX;UNST;PHOENIX;SAN;UNST;SAN DIEGO;1 547 272;486
HKG;HONG;HONG KONG;MNL;PHIL;MANILA;1 545 992;1 127
BOS;UNST;BOSTON;ORL;UNST;ORLANDO;1 531 898;1 797
ATL;UNST;ATLANTA;ORL;UNST;ORLANDO;1 528 202;640
CHI;UNST;CHICAGO **;TPA;UNST;TAMPA, FL **;1 521 136;1 612
HKG;HONG;HONG KONG;SHA;CHIN;SHANGHAI **;1 508 043;1 234
FRA;GERF;FRANKFURT;MUC;GERF;MUNICH;1 497 872;311
DEN;UNST;DENVER;LAX;UNST;LOS ANGELES **;1 490 778;1 363
LAS;UNST;LAS VEGAS;SAN;UNST;SAN DIEGO;1 472 974;416
CHI;UNST;CHICAGO **;LON;UNKG;LONDON **;1 471 624;6 318
FRA;GERF;FRANKFURT;HAM;GERF;HAMBURG;1 468 043;412
LAX;UNST;LOS ANGELES **;LON;UNKG;LONDON **;1 463 087;8 748
LON;UNKG;LONDON **;STO;SWED;STOCKHOLM **;1 463 013;1 477
OAK;UNST;OAKLAND;SAN;UNST;SAN DIEGO;1 458 600;718
LAS;UNST;LAS VEGAS;SEA;UNST;SEATTLE;1 452 864;1 393
SAN;UNST;SAN DIEGO;SMF;UNST;SACRAMENTO;1 443 686;751
BCN;SPAN;BARCELONA;PMI;SPAN;PALMA DE MALLORCA;1 437 159;202
MUC;GERF;MUNICH;BER;GERF;BERLIN **;1 436 681;498
LAX;UNST;LOS ANGELES **;TYO;JAPN;TOKYO **;1 411 672;8 809
ATL;UNST;ATLANTA;TPA;UNST;TAMPA, FL **;1 406 584;657
MAD;SPAN;MADRID **;PMI;SPAN;PALMA DE MALLORCA;1 405 959;546
OAK;UNST;OAKLAND;SEA;UNST;SEATTLE;1 404 146;1 082
DEN;UNST;DENVER;DAL;UNST;DALLAS **;1 401 874;1 032
HKG;HONG;HONG KONG;PUS;KORR;PUSAN;1 395 921;2 032
DEN;UNST;DENVER;SFO;UNST;SAN FRANCISCO;1 388 466;1 534
HKG;HONG;HONG KONG;SEL;KORR;SEOUL **;1 388 023;2 077
MSP;UNST;MINNEAPOLIS;NYC;UNST;NEW YORK **;1 386 740;1 629
BRU;BELG;BRUSSELS;LON;UNKG;LONDON **;1 384 130;372
DUS;GERF;DUSSELDORF;MUC;GERF;MUNICH;1 381 829;499
MPL;FRAN;MONTPELLIER;PAR;FRAN;PARIS **;1 378 647;585
CHI;UNST;CHICAGO **;FLL;UNST;FORT LAUDERDALE;1 375 754;1 884
LAX;UNST;LOS ANGELES **;SLC;UNST;SALT LAKE CITY;1 375 670;949
ORL;UNST;ORLANDO;WAS;UNST;WASHINGTON **;1 373 146;1 211
BKK;THAI;BANGKOK;TPE;TAIW;TAIPEI;1 370 048;2 513
CHI;UNST;CHICAGO **;HOU;UNST;HOUSTON **;1 368 776;1 522
MAD;SPAN;MADRID **;TCI;SPNA;TENERIFE **;1 365 956;1 797
LON;UNKG;LONDON **;MUC;GERF;MUNICH;1 358 334;964
SEA;UNST;SEATTLE;SJC;UNST;SAN JOSE;1 357 816;1 123
BOS;UNST;BOSTON;SFO;UNST;SAN FRANCISCO;1 357 430;4 339
LAX;UNST;LOS ANGELES **;WAS;UNST;WASHINGTON **;1 356 712;3 691
LAS;UNST;LAS VEGAS;SJC;UNST;SAN JOSE;1 346 176;617
ORL;UNST;ORLANDO;PHL;UNST;PHILADELPHIA;1 343 366;1 380
NYC;UNST;NEW YORK **;YTO;CAND;TORONTO;1 338 166;568
BUR;UNST;BURBANK;LAS;UNST;LAS VEGAS;1 337 840;357
PAR;FRAN;PARIS **;ROM;ITAL;ROMA **;1 327 788;1 088
BKK;THAI;BANGKOK;TYO;JAPN;TOKYO **;1 315 418;4 581
SEL;KORR;SEOUL **;USN;KORR;ULSAN;1 314 919;315
GEG;UNST;SPOKANE;SEA;UNST;SEATTLE;1 314 284;358
CPH;DENM;COPENHAGEN **;LON;UNKG;LONDON **;1 307 910;1 010
BUF;UNST;BUFFALO;NYC;UNST;NEW YORK **;1 303 800;462
LON;UNKG;LONDON **;YTO;CAND;TORONTO;1 302 010;5 688
GOT;SWED;GOTEBORG **;STO;SWED;STOCKHOLM **;1 300 255;379
LON;UNKG;LONDON **;ZRH;SWTZ;ZURICH;1 292 008;801
MIL;ITAL;MILANO **;NAP;ITAL;NAPOLI;1 280 805;671
AGP;SPAN;MALAGA;LON;UNKG;LONDON **;1 272 592;1 652
PHX;UNST;PHOENIX;SEA;UNST;SEATTLE;1 269 766;1 780
ATH;GREC;ATHENS;SKG;GREC;THESSALONIKI;1 269 100;298
HAM;GERF;HAMBURG;MUC;GERF;MUNICH;1 267 990;623
DUS;GERF;DUSSELDORF;PMI;SPAN;PALMA DE MALLORCA;1 254 221;1 340
GVA;SWTZ;GENEVA;LON;UNKG;LONDON **;1 250 956;758
ATL;UNST;ATLANTA;FLL;UNST;FORT LAUDERDALE;1 247 720;937
NYC;UNST;NEW YORK **;RDU;UNST;RALEIGH/DURHAM;1 211 218;685
FRA;GERF;FRANKFURT;NYC;UNST;NEW YORK **;1 208 306;6 190
PHX;UNST;PHOENIX;SFO;UNST;SAN FRANCISCO;1 204 882;1 044
BOS;UNST;BOSTON;PHL;UNST;PHILADELPHIA;1 204 864;449
HEL;FINL;HELSINKI;STO;SWED;STOCKHOLM **;1 202 473;406
BWI;UNST;BALTIMORE;MHT;UNST;MANCHESTER;1 194 014;606
CPH;DENM;COPENHAGEN **;STO;SWED;STOCKHOLM **;1 187 416;522
MIL;ITAL;MILANO **;PAR;FRAN;PARIS **;1 186 254;613
PAR;FRAN;PARIS **;SXB;FRAN;STRASBOURG;1 183 539;386
DEN;UNST;DENVER;PHX;UNST;PHOENIX;1 179 044;949
MMA;SWED;MALMO;STO;SWED;STOCKHOLM **;1 176 684;508
BUR;UNST;BURBANK;SMF;UNST;SACRAMENTO;1 176 134;556
NYC;UNST;NEW YORK **;PHX;UNST;PHOENIX;1 175 962;3 441
ATL;UNST;ATLANTA;MIA;UNST;MIAMI **;1 174 940;960
BOS;UNST;BOSTON;FLL;UNST;FORT LAUDERDALE;1 171 990;1 995
ATL;UNST;ATLANTA;HOU;UNST;HOUSTON **;1 169 244;1 119
BOS;UNST;BOSTON;LAX;UNST;LOS ANGELES **;1 166 766;4 190
LAX;UNST;LOS ANGELES **;PDX;UNST;PORTLAND;1 165 082;1 343
PAR;FRAN;PARIS **;PTP;GUAD;POINTE A PITRE;1 162 829;6 748
SFO;UNST;SAN FRANCISCO;SNA;UNST;ORANGE COUNT;1 162 042;599
MSP;UNST;MINNEAPOLIS;PHX;UNST;PHOENIX;1 160 390;2 053
BOS;UNST;BOSTON;LON;UNKG;LONDON **;1 149 437;5 218
HFD;UNST;HARTFORD SPRINGFIELDS;ORL;UNST;ORLANDO;1 147 528;1 682
LAS;UNST;LAS VEGAS;OAK;UNST;OAKLAND;1 145 346;652
PDX;UNST;PORTLAND;SJC;UNST;SAN JOSE;1 143 960;917
FRA;GERF;FRANKFURT;PAR;FRAN;PARIS **;1 135 209;470
LON;UNKG;LONDON **;SFO;UNST;SAN FRANCISCO;1 131 385;8 608
SIN;SING;SINGAPORE **;TYO;JAPN;TOKYO **;1 128 323;5 296
BWI;UNST;BALTIMORE;ORL;UNST;ORLANDO;1 118 522;1 258
ATL;UNST;ATLANTA;DET;UNST;DETROIT **;1 113 944;957
AGP;SPAN;MALAGA;MAD;SPAN;MADRID **;1 113 006;430
CTA;ITAL;CATANIA;MIL;ITAL;MILANO **;1 112 572;1 028
ATL;UNST;ATLANTA;LAX;UNST;LOS ANGELES **;1 110 742;3 122
DEN;UNST;DENVER;MSP;UNST;MINNEAPOLIS;1 106 628;1 114
LAS;UNST;LAS VEGAS;RNO;UNST;RENO;1 102 206;554
BWI;UNST;BALTIMORE;LAX;UNST;LOS ANGELES **;1 083 730;3 737
LON;UNKG;LONDON **;PMI;SPAN;PALMA DE MALLORCA;1 083 042;1 334
ATL;UNST;ATLANTA;RDU;UNST;RALEIGH/DURHAM;1 081 494;571
SAN;UNST;SAN DIEGO;SEA;UNST;SEATTLE;1 074 488;1 691
LON;UNKG;LONDON **;WAS;UNST;WASHINGTON **;1 065 629;5 870
FDF;MART;FORT DE FRANCE;PAR;FRAN;PARIS **;1 062 889;6 848
BCN;SPAN;BARCELONA;LON;UNKG;LONDON **;1 059 209;1 133
AMS;NETH;AMSTERDAM;PAR;FRAN;PARIS **;1 059 084;433
SFO;UNST;SAN FRANCISCO;WAS;UNST;WASHINGTON **;1 054 354;3 902
LON;UNKG;LONDON **;TYO;JAPN;TOKYO **;1 044 673;9 614
CGN;GERF;COLOGNE;BER;GERF;BERLIN **;1 037 996;463
BKK;THAI;BANGKOK;SEL;KORR;SEOUL **;1 036 649;3 686
NYC;UNST;NEW YORK **;PIT;UNST;PITTSBURGH;1 035 536;528
ABQ;UNST;ALBUQUERQUE;PHX;UNST;PHOENIX;1 032 924;530
BJS;CHIN;BEIJING;HKG;HONG;HONG KONG;1 030 600;1 960
HKG;HONG;HONG KONG;KHH;TAIW;KAOHSIUNG;1 030 487;639
GUM;GUAM;GUAM;TYO;JAPN;TOKYO **;1 017 120;2 502
ATH;GREC;ATHENS;LON;UNKG;LONDON **;1 015 967;2 428
BCN;SPAN;BARCELONA;PAR;FRAN;PARIS **;1 013 437;826
MSY;UNST;NEW ORLEANS;NYC;UNST;NEW YORK **;1 005 556;1 894
PHX;UNST;PHOENIX;SLC;UNST;SALT LAKE CITY;1 004 872;817
LON;UNKG;LONDON **;SIN;SING;SINGAPORE **;1 003 238;10 903
HOU;UNST;HOUSTON **;LAX;UNST;LOS ANGELES **;996 732;2 228
DEN;UNST;DENVER;LAS;UNST;LAS VEGAS;994 714;989
HKG;HONG;HONG KONG;LON;UNKG;LONDON **;992 955;9 670
MSP;UNST;MINNEAPOLIS;ORL;UNST;ORLANDO;989 152;2 098
MSP;UNST;MINNEAPOLIS;SFO;UNST;SAN FRANCISCO;987 966;2 551
CHI;UNST;CHICAGO **;CMH;UNST;COLUMBUS, OH **;987 896;449
BWI;UNST;BALTIMORE;CLE;UNST;CLEVELAND;980 152;505
PHX;UNST;PHOENIX;SJC;UNST;SAN JOSE;979 762;995
LAX;UNST;LOS ANGELES **;MEX;MEXC;MEXICO CITY;979 644;2 497
LAX;UNST;LOS ANGELES **;TPE;TAIW;TAIPEI;979 021;10 895
CHI;UNST;CHICAGO **;YTO;CAND;TORONTO;975 974;683
DEN;UNST;DENVER;WAS;UNST;WASHINGTON **;974 242;2 369
DXB;UNAR;DUBAI;LON;UNKG;LONDON **;970 817;5 513
NYC;UNST;NEW YORK **;SEA;UNST;SEATTLE;961 918;3 862
FLL;UNST;FORT LAUDERDALE;TPA;UNST;TAMPA, FL **;961 224;315
BUR;UNST;BURBANK;SJC;UNST;SAN JOSE;955 096;475
LAS;UNST;LAS VEGAS;PDX;UNST;PORTLAND;952 894;1 225
CHI;UNST;CHICAGO **;SEA;UNST;SEATTLE;950 994;2 785
CLT;UNST;CHARLOTTE;NYC;UNST;NEW YORK **;949 962;865
ATL;UNST;ATLANTA;DEN;UNST;DENVER;946 700;1 939
BOG;COLM;BOGOTA;MDE;COLM;MEDELLIN;945 756;233
NYC;UNST;NEW YORK **;TLV;ISRL;TEL AVIV;942 975;9 120
CAG;ITAL;CAGLIARI;ROM;ITAL;ROMA **;942 578;389
AMS;NETH;AMSTERDAM;DET;UNST;DETROIT **;941 892;6 285
LON;UNKG;LONDON **;ORL;UNST;ORLANDO;937 801;6 935
FAO;PORT;FARO;LON;UNKG;LONDON **;937 452;1 684
AKL;NEWZ;AUCKLAND;SYD;ASTL;SYDNEY;936 850;2 160
NYC;UNST;NEW YORK **;SAN;UNST;SAN DIEGO;935 590;3 907
LAX;UNST;LOS ANGELES **;ORL;UNST;ORLANDO;932 876;3 552
JNB;SOUF;JOHANNESBURG;LON;UNKG;LONDON **;928 205;9 072
SEA;UNST;SEATTLE;SNA;UNST;ORANGE COUNT;928 102;1 576
BOG;COLM;BOGOTA;CLO;COLM;CALI;921 302;298
LAX;UNST;LOS ANGELES **;SEL;KORR;SEOUL **;915 967;9 591
LAS;UNST;LAS VEGAS;PHL;UNST;PHILADELPHIA;911 654;3 494
ATL;UNST;ATLANTA;SFO;UNST;SAN FRANCISCO;911 274;3 432
LAX;UNST;LOS ANGELES **;MSP;UNST;MINNEAPOLIS;907 280;2 467
ATL;UNST;ATLANTA;BWI;UNST;BALTIMORE;904 492;926
LAX;UNST;LOS ANGELES **;PHL;UNST;PHILADELPHIA;901 252;3 854
DEN;UNST;DENVER;SEA;UNST;SEATTLE;899 522;1 635
LAS;UNST;LAS VEGAS;MSP;UNST;MINNEAPOLIS;898 414;2 088
SFO;UNST;SAN FRANCISCO;TYO;JAPN;TOKYO **;895 420;8 281
BUR;UNST;BURBANK;PHX;UNST;PHOENIX;892 674;589
BUR;UNST;BURBANK;SFO;UNST;SAN FRANCISCO;892 564;525
LAX;UNST;LOS ANGELES **;PUS;KORR;PUSAN;891 597;9 604
