CVIL1;CPAYS1;VIL1;CVIL2;CPAYS2;VIL2;NBPA2000;DKM
SDL;SWED;SUNDSVALL;STO;SWED;STOCKHOLM **;396 083;355
BOS;UNST;BOSTON;SEA;UNST;SEATTLE;396 066;4 002
LAS;UNST;LAS VEGAS;OMA;UNST;OMAHA;395 850;1 764
LIM;PERU;LIMA;MIA;UNST;MIAMI **;395 482;4 216
RDU;UNST;RALEIGH/DURHAM;WAS;UNST;WASHINGTON **;395 018;362
AMS;NETH;AMSTERDAM;TYO;JAPN;TOKYO **;394 349;9 308
KIN;JAMC;KINGSTON;MIA;UNST;MIAMI **;394 270;946
LON;UNKG;LONDON **;WAW;POLD;WARSAW;393 943;1 497
STL;UNST;ST LOUIS;TPA;UNST;TAMPA, FL **;393 710;1 400
CHI;UNST;CHICAGO **;JAX;UNST;JACKSONVILLE;393 232;1 381
PAR;FRAN;PARIS **;SFO;UNST;SAN FRANCISCO;391 342;8 972
LIS;PORT;LISBON;NYC;UNST;NEW YORK **;391 330;5 414
LAS;UNST;LAS VEGAS;SAT;UNST;SAN ANTONIO;389 784;1 718
AMS;NETH;AMSTERDAM;DUB;IRLD;DUBLIN;389 635;750
LAS;UNST;LAS VEGAS;STL;UNST;ST LOUIS;388 424;2 202
AMS;NETH;AMSTERDAM;LTN;UNKG;LUTON;388 352;355
BWI;UNST;BALTIMORE;DAL;UNST;DALLAS **;387 584;1 950
DET;UNST;DETROIT **;LON;UNKG;LONDON **;387 308;5 991
BNA;UNST;NASHVILLE;RDU;UNST;RALEIGH/DURHAM;386 608;711
MIA;UNST;MIAMI **;PTY;PANM;PANAMA CITY - TOCUMEN;386 561;1 860
EDI;UNKG;EDINBURGH;LTN;UNKG;LUTON;386 148;494
DUS;GERF;DUSSELDORF;PAR;FRAN;PARIS **;385 716;421
ORL;UNST;ORLANDO;SDF;UNST;LOUISVILLE;385 580;1 146
IND;UNST;INDIANAPOLIS;PHX;UNST;PHOENIX;385 382;2 392
BCN;SPAN;BARCELONA;BIO;SPAN;BILBAO;385 329;467
MSP;UNST;MINNEAPOLIS;STL;UNST;ST LOUIS;384 044;723
PAD;GERF;PADERBORN;PMI;SPAN;PALMA DE MALLORCA;383 352;1 429
OMA;UNST;OMAHA;PHX;UNST;PHOENIX;383 294;1 667
BRU;BELG;BRUSSELS;LIS;PORT;LISBON;383 034;1 717
BUD;HUNG;BUDAPEST;FRA;GERF;FRANKFURT;382 872;833
ATL;UNST;ATLANTA;SAN;UNST;SAN DIEGO;382 208;3 034
NYC;UNST;NEW YORK **;POP;DOMR;PUERTO PLATA;379 917;2 349
GCM;CAYM;GRAND CAYMAN;MIA;UNST;MIAMI **;379 746;733
CHC;NEWZ;CHRISTCHURCH;SYD;ASTL;SYDNEY;379 723;2 126
LTN;UNKG;LUTON;NCE;FRAN;NICE;379 257;1 072
MSY;UNST;NEW ORLEANS;TPA;UNST;TAMPA, FL **;378 958;784
BHX;UNKG;BIRMINGHAM;PAR;FRAN;PARIS **;377 837;505
GUM;GUAM;GUAM;NGO;JAPN;NAGOYA;377 710;2 542
HKG;HONG;HONG KONG;PAR;FRAN;PARIS **;376 885;9 626
AGP;SPAN;MALAGA;LTN;UNKG;LUTON;376 853;1 720
PHX;UNST;PHOENIX;RNO;UNST;RENO;376 544;965
LON;UNKG;LONDON **;STR;GERF;STUTTGART;376 421;772
BOM;INDA;BOMBAY;RUH;SAUD;RIYADH;376 000;2 765
PIT;UNST;PITTSBURGH;TPA;UNST;TAMPA, FL **;375 892;1 407
HOU;UNST;HOUSTON **;SEA;UNST;SEATTLE;375 760;3 041
FRA;GERF;FRANKFURT;NUE;GERF;NUREMBERG;375 736;190
AMS;NETH;AMSTERDAM;BRU;BELG;BRUSSELS;375 710;159
BNA;UNST;NASHVILLE;CLE;UNST;CLEVELAND;375 004;721
CLE;UNST;CLEVELAND;PHX;UNST;PHOENIX;374 952;2 791
CLE;UNST;CLEVELAND;TPA;UNST;TAMPA, FL **;374 418;1 496
AMS;NETH;AMSTERDAM;LPA;SPNA;LAS PALMAS;374 220;3 185
NYC;UNST;NEW YORK **;ORF;UNST;NORFOLK;374 144;469
LPA;SPNA;LAS PALMAS;MAN;UNKG;MANCHESTER;374 100;3 021
PBI;UNST;PALM BEACH;WAS;UNST;WASHINGTON **;373 746;1 382
ATL;UNST;ATLANTA;RIC;UNST;RICHMOND;373 368;772
DEN;UNST;DENVER;SNA;UNST;ORANGE COUNT;372 016;1 338
DUS;GERF;DUSSELDORF;IST;TURK;ISTANBUL;370 696;2 037
FRA;GERF;FRANKFURT;TLV;ISRL;TEL AVIV;369 698;2 953
ATL;UNST;ATLANTA;SAV;UNST;SAVANNAH;369 456;346
LAS;UNST;LAS VEGAS;MIA;UNST;MIAMI **;368 774;3 493
MRU;MAUT;MAURITIUS;RUN;REUN;ST DENIS;368 567;227
DKR;SENG;DAKAR;PAR;FRAN;PARIS **;368 442;4 190
ACE;SPNA;ARRECIFE;MAN;UNKG;MANCHESTER;368 379;2 864
KUL;MALB;KUALA LUMPUR;TPE;TAIW;TAIPEI;368 105;3 232
DXB;UNAR;DUBAI;THR;IRAN;TEHRAN;367 861;1 221
MBJ;JAMC;MONTEGO BAY;MIA;UNST;MIAMI **;367 429;847
BOS;UNST;BOSTON;YTO;CAND;TORONTO;366 839;716
DRS;GERF;DRESDEN;FRA;GERF;FRANKFURT;366 393;387
AUS;UNST;AUSTIN;LAX;UNST;LOS ANGELES **;366 160;1 986
BHM;UNST;BIRMINGHAM;PAR;FRAN;PARIS **;366 108;7 214
FUK;JAPN;FUKUOKA;TPE;TAIW;TAIPEI;365 979;1 280
CAI;EGYP;CAIRO;PAR;FRAN;PARIS **;365 260;3 202
AMS;NETH;AMSTERDAM;FAO;PORT;FARO;365 130;1 969
AUS;UNST;AUSTIN;LAS;UNST;LAS VEGAS;364 904;1 744
BOM;INDA;BOMBAY;LON;UNKG;LONDON **;364 858;7 233
PMI;SPAN;PALMA DE MALLORCA;BER;GERF;BERLIN **;364 715;1 656
DUS;GERF;DUSSELDORF;HAM;GERF;HAMBURG;364 457;341
DEN;UNST;DENVER;TPA;UNST;TAMPA, FL **;363 550;2 433
ATL;UNST;ATLANTA;YTO;CAND;TORONTO;363 160;1 190
HAM;GERF;HAMBURG;PAR;FRAN;PARIS **;361 727;759
PBI;UNST;PALM BEACH;PHL;UNST;PHILADELPHIA;361 166;1 534
CLE;UNST;CLEVELAND;HOU;UNST;HOUSTON **;360 862;1 781
GCI;UNKG;GUERNSEY;LON;UNKG;LONDON **;360 474;243
BWI;UNST;BALTIMORE;MKC;UNST;KANSAS CITY;359 622;1 542
OAK;UNST;OAKLAND;RNO;UNST;RENO;359 382;291
BNA;UNST;NASHVILLE;TPA;UNST;TAMPA, FL **;359 250;988
BNA;UNST;NASHVILLE;DAL;UNST;DALLAS **;358 752;1 011
CLT;UNST;CHARLOTTE;WAS;UNST;WASHINGTON **;358 742;523
BOS;UNST;BOSTON;PHX;UNST;PHOENIX;358 612;3 694
MIL;ITAL;MILANO **;ZRH;SWTZ;ZURICH;358 528;216
BCN;SPAN;BARCELONA;TCI;SPNA;TENERIFE **;357 854;2 222
CLT;UNST;CHARLOTTE;PHL;UNST;PHILADELPHIA;357 688;722
NYC;UNST;NEW YORK **;SAV;UNST;SAVANNAH;356 848;1 154
BOS;UNST;BOSTON;SAN;UNST;SAN DIEGO;356 794;4 153
ATL;UNST;ATLANTA;ORF;UNST;NORFOLK;356 676;829
ORL;UNST;ORLANDO;SYR;UNST;SYRACUSE;356 654;1 687
BLQ;ITAL;BOLOGNA;ROM;ITAL;ROMA **;356 625;315
AMS;NETH;AMSTERDAM;HER;GREC;IRAKLION;355 901;2 480
SLC;UNST;SALT LAKE CITY;SNA;UNST;ORANGE COUNT;355 492;947
MRU;MAUT;MAURITIUS;PAR;FRAN;PARIS **;355 426;9 430
BRU;BELG;BRUSSELS;NCE;FRAN;NICE;355 308;830
STL;UNST;ST LOUIS;WAS;UNST;WASHINGTON **;354 926;1 136
MSY;UNST;NEW ORLEANS;PHL;UNST;PHILADELPHIA;354 272;1 752
ATL;UNST;ATLANTA;FMY;UNST;FORT MYERS;354 180;823
HOU;UNST;HOUSTON **;TPA;UNST;TAMPA, FL **;353 548;1 256
FRA;GERF;FRANKFURT;VCE;ITAL;VENICE;353 082;585
PHL;UNST;PHILADELPHIA;RDU;UNST;RALEIGH/DURHAM;351 426;544
BKK;THAI;BANGKOK;PAR;FRAN;PARIS **;350 455;9 432
BDS;ITAL;BRINDISI;ROM;ITAL;ROMA **;350 351;494
SFO;UNST;SAN FRANCISCO;YTO;CAND;TORONTO;348 694;3 625
MEM;UNST;MEMPHIS;WAS;UNST;WASHINGTON **;348 240;1 206
MAD;SPAN;MADRID **;MIA;UNST;MIAMI **;347 737;7 101
SHA;CHIN;SHANGHAI **;SIN;SING;SINGAPORE **;347 514;3 806
HOU;UNST;HOUSTON **;SAN;UNST;SAN DIEGO;346 354;2 104
DEN;UNST;DENVER;STL;UNST;ST LOUIS;346 068;1 253
CMH;UNST;COLUMBUS, OH **;WAS;UNST;WASHINGTON **;345 800;500
CMH;UNST;COLUMBUS, OH **;LAX;UNST;LOS ANGELES **;345 388;3 202
HFD;UNST;HARTFORD SPRINGFIELDS;LAX;UNST;LOS ANGELES **;345 290;4 054
ATL;UNST;ATLANTA;MEX;MEXC;MEXICO CITY;344 768;2 144
MSY;UNST;NEW ORLEANS;SFO;UNST;SAN FRANCISCO;344 654;3 068
AMS;NETH;AMSTERDAM;IST;TURK;ISTANBUL;344 332;2 209
ATL;UNST;ATLANTA;CMH;UNST;COLUMBUS, OH **;344 282;719
LCA;CYPR;LARNACA;MAN;UNKG;MANCHESTER;344 093;3 466
JKT;INDO;JAKARTA **;KUL;MALB;KUALA LUMPUR;343 985;1 177
MIL;ITAL;MILANO **;ROM;ITAL;ROMA **;343 809;489
FRA;GERF;FRANKFURT;HEL;FINL;HELSINKI;343 342;1 537
IST;TURK;ISTANBUL;MUC;GERF;MUNICH;343 096;1 567
FRA;GERF;FRANKFURT;SFO;UNST;SAN FRANCISCO;340 847;9 143
FRA;GERF;FRANKFURT;PRG;CZCH;PRAGUE;340 718;418
CMB;SRIL;COLOMBO;MAA;INDA;CHENNAI/MADRAS;340 487;647
FLL;UNST;FORT LAUDERDALE;RDU;UNST;RALEIGH/DURHAM;339 926;1 097
NYC;UNST;NEW YORK **;SAT;UNST;SAN ANTONIO;339 838;2 537
GVA;SWTZ;GENEVA;LTN;UNKG;LUTON;339 793;783
BUE;ARGT;BUENOS AIRES **;RIO;BRAZ;RIO DE JANEIRO **;339 744;1 964
AMS;NETH;AMSTERDAM;WAS;UNST;WASHINGTON **;339 691;6 194
MKE;UNST;MILWAUKEE;SFO;UNST;SAN FRANCISCO;339 592;2 961
BHX;UNKG;BIRMINGHAM;PMI;SPAN;PALMA DE MALLORCA;339 401;1 474
TLV;ISRL;TEL AVIV;ZRH;SWTZ;ZURICH;339 287;2 809
RNO;UNST;RENO;SAN;UNST;SAN DIEGO;338 894;787
FRA;GERF;FRANKFURT;SEL;KORR;SEOUL **;338 814;8 548
FRA;GERF;FRANKFURT;PUS;KORR;PUSAN;338 814;8 885
BFS;UNKG;BELFAST **;BHX;UNKG;BIRMINGHAM;337 854;368
LON;UNKG;LONDON **;NAP;ITAL;NAPOLI;337 347;1 635
AGP;SPAN;MALAGA;AMS;NETH;AMSTERDAM;337 012;1 885
AMS;NETH;AMSTERDAM;LAX;UNST;LOS ANGELES **;336 442;8 951
MED;SAUD;MEDINA;RUH;SAUD;RIYADH;336 000;706
BHM;UNST;BIRMINGHAM;BWI;UNST;BALTIMORE;335 688;1 095
LIS;PORT;LISBON;ZRH;SWTZ;ZURICH;335 509;1 722
BOM;INDA;BOMBAY;SIN;SING;SINGAPORE **;335 270;3 918
AGP;SPAN;MALAGA;BRU;BELG;BRUSSELS;334 820;1 735
LON;UNKG;LONDON **;OSA;JAPN;OSAKA;334 394;9 528
GOT;SWED;GOTEBORG **;LON;UNKG;LONDON **;334 345;1 103
CHI;UNST;CHICAGO **;HPN;UNST;WESTCHESTER COUNTY;333 788;1 162
ATL;UNST;ATLANTA;CVG;UNST;CINCINNATI;333 040;600
FRA;GERF;FRANKFURT;LEJ;GERF;LEIPZIG;332 750;310
ALC;SPAN;ALICANTE;BCN;SPAN;BARCELONA;332 715;392
CRP;UNST;CORPUS CHRISTI;DAL;UNST;DALLAS **;332 426;578
HOU;UNST;HOUSTON **;MAF;UNST;MIDLAND/ODESSA;332 342;706
CAI;EGYP;CAIRO;LON;UNKG;LONDON **;332 293;3 541
BKK;THAI;BANGKOK;RGN;BURM;RANGOON;331 724;579
FMY;UNST;FORT MYERS;IND;UNST;INDIANAPOLIS;330 542;1 517
PAR;FRAN;PARIS **;STR;GERF;STUTTGART;330 049;500
KUL;MALB;KUALA LUMPUR;TYO;JAPN;TOKYO **;330 009;5 316
PAR;FRAN;PARIS **;YTO;CAND;TORONTO;329 911;6 019
NYC;UNST;NEW YORK **;SEL;KORR;SEOUL **;329 755;11 048
AMS;NETH;AMSTERDAM;AYT;TURK;ANTALYA;329 732;2 651
DET;UNST;DETROIT **;FRA;GERF;FRANKFURT;328 866;6 639
BHM;UNST;BIRMINGHAM;CHI;UNST;CHICAGO **;328 736;926
BNE;ASTL;BRISBANE;SIN;SING;SINGAPORE **;328 111;6 158
MUC;GERF;MUNICH;VIE;AUST;VIENNA;327 879;358
PHL;UNST;PHILADELPHIA;SAN;UNST;SAN DIEGO;327 580;3 803
CFU;GREC;CORFU;LON;UNKG;LONDON **;327 512;2 044
MIL;ITAL;MILANO **;TLV;ISRL;TEL AVIV;327 496;2 682
ROM;ITAL;ROMA **;ZRH;SWTZ;ZURICH;327 470;692
PHX;UNST;PHOENIX;SNA;UNST;ORANGE COUNT;327 354;541
CAN;CHIN;GUANGZHOU;HKG;HONG;HONG KONG;326 904;134
MKE;UNST;MILWAUKEE;PHX;UNST;PHOENIX;326 218;2 346
LAX;UNST;LOS ANGELES **;MKE;UNST;MILWAUKEE;324 658;2 818
LGB;UNST;LONG BEACH;PHX;UNST;PHOENIX;323 752;567
CHS;UNST;CHARLESTON;NYC;UNST;NEW YORK **;323 512;1 024
DEN;UNST;DENVER;OMA;UNST;OMAHA;323 492;777
CPH;DENM;COPENHAGEN **;ZRH;SWTZ;ZURICH;322 661;950
MBJ;JAMC;MONTEGO BAY;NYC;UNST;NEW YORK **;322 132;2 501
HOU;UNST;HOUSTON **;MIA;UNST;MIAMI **;321 972;1 536
BOS;UNST;BOSTON;FRA;GERF;FRANKFURT;321 141;5 885
LAX;UNST;LOS ANGELES **;PVD;UNST;PROVIDENCE;321 118;4 159
MKE;UNST;MILWAUKEE;WAS;UNST;WASHINGTON **;320 646;1 002
FLR;ITAL;FLORENCE;PAR;FRAN;PARIS **;320 477;870
IBZ;SPAN;IBIZA;MAN;UNKG;MANCHESTER;320 187;1 633
PHL;UNST;PHILADELPHIA;SEA;UNST;SEATTLE;319 986;3 814
LAX;UNST;LOS ANGELES **;SAT;UNST;SAN ANTONIO;319 782;1 943
MIA;UNST;MIAMI **;RIO;BRAZ;RIO DE JANEIRO **;319 765;6 726
HOU;UNST;HOUSTON **;PAR;FRAN;PARIS **;319 640;8 093
PMI;SPAN;PALMA DE MALLORCA;VLC;SPAN;VALENCIA;319 255;274
ATL;UNST;ATLANTA;IND;UNST;INDIANAPOLIS;319 018;696
BRU;BELG;BRUSSELS;MAN;UNKG;MANCHESTER;318 947;535
SFO;UNST;SAN FRANCISCO;STL;UNST;ST LOUIS;318 314;2 785
BNA;UNST;NASHVILLE;MSY;UNST;NEW ORLEANS;317 674;760
BJS;CHIN;BEIJING;FRA;GERF;FRANKFURT;317 576;7 782
CRP;UNST;CORPUS CHRISTI;HOU;UNST;HOUSTON **;317 562;300
FRA;GERF;FRANKFURT;GVA;SWTZ;GENEVA;317 370;460
CGN;GERF;COLOGNE;FRA;GERF;FRANKFURT;316 937;136
AYT;TURK;ANTALYA;STR;GERF;STUTTGART;316 860;2 181
LAX;UNST;LOS ANGELES **;PPT;FREP;PAPEETE;316 357;6 606
DUS;GERF;DUSSELDORF;ZRH;SWTZ;ZURICH;316 174;445
CLE;UNST;CLEVELAND;FLL;UNST;FORT LAUDERDALE;316 108;1 713
AMS;NETH;AMSTERDAM;ATH;GREC;ATHENS;315 978;2 172
GUA;GUAT;GUATEMALA CITY;MIA;UNST;MIAMI **;315 797;1 642
BCN;SPAN;BARCELONA;LTN;UNKG;LUTON;315 757;1 189
CHI;UNST;CHICAGO **;MEM;UNST;MEMPHIS;315 498;782
ATH;GREC;ATHENS;MUC;GERF;MUNICH;315 409;1 496
LAX;UNST;LOS ANGELES **;SJD;MEXC;SAN SOSE CABO;315 229;1 477
MAD;SPAN;MADRID **;ZRH;SWTZ;ZURICH;314 494;1 239
CLE;UNST;CLEVELAND;SFO;UNST;SAN FRANCISCO;314 060;3 468
BUE;ARGT;BUENOS AIRES **;NYC;UNST;NEW YORK **;314 019;8 520
HKG;HONG;HONG KONG;JKT;INDO;JAKARTA **;313 712;3 265
BGA;COLM;BUCARAMANGA;BOG;COLM;BOGOTA;313 462;289
CGN;GERF;COLOGNE;HAM;GERF;HAMBURG;313 313;363
BFS;UNKG;BELFAST **;LTN;UNKG;LUTON;313 047;481
MSP;UNST;MINNEAPOLIS;TYO;JAPN;TOKYO **;312 895;9 597
LON;UNKG;LONDON **;PFO;CYPR;PAPHOS;312 482;3 223
AYT;TURK;ANTALYA;MUC;GERF;MUNICH;311 711;1 991
FRA;GERF;FRANKFURT;SAO;BRAZ;SAO PAULO **;311 504;9 802
LAX;UNST;LOS ANGELES **;RDU;UNST;RALEIGH/DURHAM;311 452;3 592
ELP;UNST;EL PASO;LAX;UNST;LOS ANGELES **;310 444;1 146
MSP;UNST;MINNEAPOLIS;TPA;UNST;TAMPA, FL **;310 152;2 106
BCN;SPAN;BARCELONA;ZRH;SWTZ;ZURICH;309 459;854
CMH;UNST;COLUMBUS, OH **;STL;UNST;ST LOUIS;309 124;657
AMS;NETH;AMSTERDAM;BKK;THAI;BANGKOK;308 860;9 169
MUC;GERF;MUNICH;ZRH;SWTZ;ZURICH;308 473;247
GVA;SWTZ;GENEVA;NCE;FRAN;NICE;308 398;298
FRA;GERF;FRANKFURT;JNB;SOUF;JOHANNESBURG;308 030;8 694
BIA;FRAN;BASTIA;PAR;FRAN;PARIS **;307 811;880
ORL;UNST;ORLANDO;SLC;UNST;SALT LAKE CITY;307 456;3 090
ATH;GREC;ATHENS;AXD;GREC;ALEXANDROUPOLIS;307 452;379
BOS;UNST;BOSTON;PAR;FRAN;PARIS **;307 397;5 530
LON;UNKG;LONDON **;YMQ;CAND;MONTREAL **;307 114;5 181
CFE;FRAN;CLERMONT-FERRAND;PAR;FRAN;PARIS **;307 046;333
HOU;UNST;HOUSTON **;MSP;UNST;MINNEAPOLIS;305 686;1 704
NTE;FRAN;NANTES;PAR;FRAN;PARIS **;305 624;345
NAP;ITAL;NAPOLI;ROM;ITAL;ROMA **;305 325;199
BLQ;ITAL;BOLOGNA;LON;UNKG;LONDON **;305 252;1 172
BUR;UNST;BURBANK;PDX;UNST;PORTLAND;305 050;1 315
FRA;GERF;FRANKFURT;OSA;JAPN;OSAKA;304 845;9 230
FRA;GERF;FRANKFURT;MAN;UNKG;MANCHESTER;304 843;831
BRU;BELG;BRUSSELS;STO;SWED;STOCKHOLM **;304 672;1 266
ATH;GREC;ATHENS;NYC;UNST;NEW YORK **;304 458;7 922
BKK;THAI;BANGKOK;MNL;PHIL;MANILA;304 417;2 200
IBZ;SPAN;IBIZA;PMI;SPAN;PALMA DE MALLORCA;304 377;141
IST;TURK;ISTANBUL;ZRH;SWTZ;ZURICH;303 877;1 761
SGN;VTND;HO CHI MINH CITY;TPE;TAIW;TAIPEI;303 546;2 228
SLC;UNST;SALT LAKE CITY;WAS;UNST;WASHINGTON **;303 482;2 952
DPS;INDO;DENPASAR (BALI);TYO;JAPN;TOKYO **;303 269;5 557
PAR;FRAN;PARIS **;PRG;CZCH;PRAGUE;302 634;883
BRU;BELG;BRUSSELS;MUC;GERF;MUNICH;302 223;604
LON;UNKG;LONDON **;MOW;RUSF;MOSCOU **;302 073;2 547
JAX;UNST;JACKSONVILLE;PHL;UNST;PHILADELPHIA;301 536;1 201
SEA;UNST;SEATTLE;STL;UNST;ST LOUIS;301 498;2 742
ABQ;UNST;ALBUQUERQUE;HOU;UNST;HOUSTON **;301 458;1 218
MAD;SPAN;MADRID **;MEX;MEXC;MEXICO CITY;301 271;9 062
BOS;UNST;BOSTON;CLT;UNST;CHARLOTTE;300 680;1 170
IBZ;SPAN;IBIZA;MAD;SPAN;MADRID **;300 643;457
MOW;RUSF;MOSCOU **;PAR;FRAN;PARIS **;300 290;2 483
ELP;UNST;EL PASO;LAS;UNST;LAS VEGAS;300 272;939
AUA;NETS;ARUBA /ORANJESTAD;MIA;UNST;MIAMI **;300 205;1 827
BER;GERF;BERLIN **;ZRH;SWTZ;ZURICH;300 004;656
