1,China,1367470000,7/1/2014,19%,Official population clock,null,null
2,India,1261420000,7/1/2014,17.50%,Population clock,null,null
3,United States,318964000,7/1/2014,4.43%,Official population clock,null,null
4,Indonesia,252164800,7/1/2014,3.50%,Official estimate,null,null
5,Brazil,203337000,7/1/2014,2.83%,Official population clock,null,null
6,Pakistan,188020000,7/1/2014,2.61%,Official annual projection,null,null
7,Nigeria,178517000,7/1/2014,2.48%,UN projection[6],null,null
8,Bangladesh,157193000,7/1/2014,2.18%,Official population clock,null,null
9,Russian Federation,146149200,7/1/2014,2.03%,Official estimate,null,null
10,Japan,127090000,7/1/2014,1.77%,Monthly official estimate,null,null
11,Mexico,119713203,7/1/2014,1.66%,Official projection,null,null
12,Philippines,100440100,7/1/2014,1.40%,Official population clock,null,null
13,Viet Nam,89708900,7/1/2014,1.25%,Official estimate,null,null
14,Ethiopia,87952991,7/1/2014,1.22%,Official projection,null,null
15,Egypt,87371100,7/1/2014,1.21%,Official population clock,null,null
16,Germany,80767000,7/1/2014,1.12%,Official estimate,null,null
17,Iran,77838800,7/1/2014,1.08%,Official population clock,null,null
18,Turkey,76667864,7/1/2014,1.07%,Annual official estimate,null,null
19,Democratic Republic of Congo,69360000,7/1/2014,0.96%,UN projection,null,null
20,France,66048000,7/1/2014,0.92%,Monthly official estimate,null,null
21,Thailand,64871000,7/1/2014,0.90%,Official estimate,null,null
22,United Kingdom,64105654,7/1/2014,0.89%,Annual official estimate,null,null
23,Italy,60780377,7/1/2014,0.84%,Monthly official estimate,null,null
24,South Africa,54002000,7/1/2014,0.75%,Official estimate,null,null
25,Myanmar,51419420,7/1/2014,0.71%,Preliminary 2014 census result,null,null
26,South Korea,50423955,7/1/2014,0.70%,Official projection,null,null
27,Colombia,47832200,7/1/2014,0.67%,Official population clock,null,null
28,Tanzania,47421786,7/1/2014,0.66%,Official Projection,null,null
29,Spain,46507800,7/1/2014,0.63%,Annual official estimate,null,null
30,Ukraine,42981850,7/1/2014,0.60%,Monthly official estimate,null,null
31,Argentina,42669500,7/1/2014,0.59%,Official annual projection,null,null
32,Kenya,41800000,7/1/2014,0.58%,Annual official estimate,null,null
33,Algeria,38700000,7/1/2014,0.54%,Official estimate,null,null
34,Poland,38496000,7/1/2014,0.53%,Official estimate,null,null
35,Sudan,37289406,7/1/2014,0.52%,Official annual projection,null,null
36,Uganda,36600000,7/1/2014,0.51%,Annual official estimate,null,null
37,Iraq,36004552,7/1/2014,0.50%,Official annual projection,null,null
38,Canada,35540419,7/1/2014,0.49%,Official estimate,null,null
39,Morocco,33414900,7/1/2014,0.46%,Official population clock,null,null
40,Peru,30814175,7/1/2014,0.43%,Official annual projection,null,null
41,Saudi Arabia,30770375,7/1/2014,0.43%,Official annual projection,null,null
42,Uzbekistan,30492800,7/1/2014,0.42%,Official estimate,null,null
43,Malaysia,30378300,7/1/2014,0.42%,Official population clock,null,null
44,Venezuela,30206307,7/1/2014,0.42%,Official annual projection,null,null
45,Ghana,27043093,7/1/2014,0.38%,Official annual projection,null,null
46,Nepal,26494504,7/1/2014,0.37%,Final 2011 census result,null,null
47,Afghanistan,26023100,7/1/2014,0.36%,Official estimate,null,null
48,Yemen,25956000,7/1/2014,0.36%,Official estimate,null,null
49,Mozambique,25041922,7/1/2014,0.35%,Annual official projection,null,null
50,North Korea,25027000,7/1/2014,0.35%,UN projection,null,null
51,Angola,24383301,7/1/2014,0.34%,Preliminary 2014 census result,null,null
52,Australia,23640800,7/1/2014,0.33%,Official population clock,null,null
53,Taiwan,23410280,7/1/2014,0.33%,Monthly official estimate,null,null
54,Côte d'Ivoire,23202000,7/1/2014,0.32%,Official estimate,null,null
55,Syrian Arab Republic,21987000,7/1/2014,0.31%,UN projection[13],null,null
56,Madagascar,21263403,7/1/2014,0.30%,Annual official estimate,null,null
57,Cameroon,20386799,7/1/2014,0.28%,Official estimate,null,null
58,Sri Lanka,20277597,7/1/2014,0.28%,Preliminary 2012 census result,null,null
59,Romania,19942642,7/1/2014,0.28%,Annual official estimate,null,null
60,Chile,17819054,7/1/2014,0.25%,Official annual projection,null,null
61,Kazakhstan,17330000,7/1/2014,0.24%,Monthly official estimate,null,null
62,Burkina Faso,17322796,7/1/2014,0.24%,Official estimate,null,null
63,Niger,17138707,7/1/2014,0.24%,Preliminary 2012 census result,null,null
64,Netherlands,16873600,7/1/2014,0.23%,Official population clock,null,null
65,Ecuador,15852800,7/1/2014,0.22%,Official population clock,null,null
66,Guatemala,15806675,7/1/2014,0.22%,Official estimate,null,null
67,Malawi,15805239,7/1/2014,0.22%,Official annual projection,null,null
68,Mali,15768000,7/1/2014,0.22%,UN projection,null,null
69,Cambodia,15184116,7/1/2014,0.21%,Official annual projection,null,null
70,Zambia,15023315,7/1/2014,0.21%,Official estimate,null,null
71,Senegal,13508715,7/1/2014,0.19%,2013 census result,null,null
72,Chad,13211000,7/1/2014,0.18%,UN projection,null,null
73,Zimbabwe,13061239,7/1/2014,0.18%,2012 Census Result,null,null
74,South Sudan,11384393,7/1/2014,0.16%,Official annual projection,null,null
75,Belgium,11215442,7/1/2014,0.16%,Monthly official estimate,null,null
76,Cuba,11210064,7/1/2014,0.16%,Annual official estimate,null,null
77,Rwanda,10996891,7/1/2014,0.15%,Official annual projection,null,null
78,Greece,10992589,7/1/2014,0.15%,Official estimate,null,null
79,Tunisia,10982754,7/1/2014,0.15%,Preliminary 2014 census result,null,null
80,Somalia,10806000,7/1/2014,0.15%,UN projection,null,null
81,Haiti,10745665,7/1/2014,0.15%,Official projection,null,null
82,Guinea,10628972,7/1/2014,0.15%,Preliminary 2014 census result,null,null
83,Czech Republic,10521600,7/1/2014,0.15%,Official quarterly estimate,null,null
84,Portugal,10477800,7/1/2014,0.15%,Annual official estimate,null,null
85,Dominican Republic,10378267,7/1/2014,0.14%,Official estimate,null,null
86,Bolivia, Plurinational State of,10027254,7/1/2014,0.14%,2012 census result,null,null
87,Benin,9988068,7/1/2014,0.14%,Official annual projection,null,null
88,Hungary,9879000,7/1/2014,0.14%,Annual official estimate,null,null
89,Sweden,9716962,7/1/2014,0.14%,Monthly official estimate,null,null
90,Azerbaijan,9540400,7/1/2014,0.13%,Official estimate,null,null
91,Burundi,9530434,7/1/2014,0.13%,Official annual projection,null,null
92,Belarus,9469200,7/1/2014,0.13%,Quarterly official estimate,null,null
93,United Arab Emirates,9446000,7/1/2014,0.13%,UN projection,null,null
94,Honduras,8725111,7/1/2014,0.12%,Annual official estimate,null,null
95,Austria,8527230,7/1/2014,0.12%,Official quarterly estimate,null,null
96,Israel,8238300,7/1/2014,0.11%,Official Monthly Estimate,null,null
97,Switzerland,8183800,7/1/2014,0.11%,Quarterly provisional figure,null,null
98,Tajikistan,8161000,7/1/2014,0.11%,Official estimate,null,null
99,Papua New Guinea,7398500,7/1/2014,0.10%,Annual official estimate,null,null
100,Bulgaria,7245677,7/1/2014,0.10%,Official estimate,null,null
101,* Hong Kong* (China),7234800,7/1/2014,0.10%,Official estimate,null,null
102,Serbia,7146759,7/1/2014,0.10%,Annual official estimate,null,null
103,Togo,6993000,7/1/2014,0.10%,UN projection,null,null
104,Paraguay,6893727,7/1/2014,0.10%,Official estimate,null,null
105,Lao People's Democratic Republic,6693300,7/1/2014,0.09%,Annual official projection,null,null
106,Jordan,6646840,7/1/2014,0.09%,Official population clock,null,null
107,Eritrea,6536000,7/1/2014,0.09%,UN projection,null,null
108,El Salvador,6401240,7/1/2014,0.09%,Official estimate,null,null
109,Libya,6253000,7/1/2014,0.09%,UN projection,null,null
110,Sierra Leone,6205000,7/1/2014,0.09%,UN projection,null,null
111,Nicaragua,6146400,7/1/2014,0.09%,Official estimate,null,null
112,Turkmenistan,5824960,7/1/2014,0.08%,Official population clock,null,null
113,Kyrgyzstan,5776570,7/1/2014,0.08%,Official estimate,null,null
114,Denmark,5639719,7/1/2014,0.08%,Quarterly official estimate,null,null
115,Singapore,5469700,7/1/2014,0.08%,Official estimate,null,null
116,Finland,5468609,7/1/2014,0.08%,Monthly official estimate,null,null
117,Slovakia,5415949,7/1/2014,0.08%,Official estimate,null,null
118,Norway,5137679,7/1/2014,0.07%,Quarterly official estimate,null,null
119,Central African Republic,4709000,7/1/2014,0.07%,UN projection,null,null
120,Costa Rica,4667096,7/1/2014,0.07%,Official estimate,null,null
121,Ireland,4609600,7/1/2014,0.06%,Annual official estimate,null,null
122,Congo,4559000,7/1/2014,0.06%,UN projection,null,null
123,* Palestine*,4550368,7/1/2014,0.06%,Official estimate,null,null
124,New Zealand,4536140,7/1/2014,0.06%,Official population clock,null,null
125,Georgia,4490500,7/1/2014,0.06%,Annual official estimate,null,null
126,Liberia,4397000,7/1/2014,0.06%,UN projection,null,null
127,Croatia,4267558,7/1/2014,0.06%,Annual official estimate,null,null
128,Lebanon,4104000,7/1/2014,0.06%,Official estimate,null,null
129,Oman,4071147,7/1/2014,0.06%,Weekly official estimate,null,null
130,Bosnia and Herzegovina,3791622,7/1/2014,0.05%,Preliminary 2013 census result,null,null
131,Panama,3713312,7/1/2014,0.05%,Official estimate,null,null
132,* Puerto Rico* (USA),3615086,7/1/2014,0.05%,Official estimate,null,null
133,Moldova, Republic of,3557600,7/1/2014,0.05%,Official estimate,null,null
134,Mauritania,3545620,7/1/2014,0.05%,Annual official estimate,null,null
135,Uruguay,3404189,7/1/2014,0.05%,Annual official estimate,null,null
136,Kuwait,3065850,7/1/2014,0.04%,Official estimate,null,null
137,Armenia,3009800,7/1/2014,0.04%,Monthly official estimate,null,null
138,Mongolia,2978997,7/1/2014,0.04%,Official population clock,null,null
139,Lithuania,2927310,7/1/2014,0.04%,Monthly official estimate,null,null
140,Albania,2895947,7/1/2014,0.04%,Annual official estimate,null,null
141,Jamaica,2717991,7/1/2014,0.04%,Annual official estimate,null,null
142,Qatar,2187326,7/1/2014,0.03%,Monthly official estimate,null,null
143,Namibia,2113077,7/1/2014,0.03%,Final 2011 census result,null,null
144,Lesotho,2098000,7/1/2014,0.03%,UN projection,null,null
145,Macedonia, the former Yugoslav Republic of,2065769,7/1/2014,0.03%,Official estimate,null,null
146,Slovenia,2064394,7/1/2014,0.03%,Official population clock,null,null
147,Botswana,2024904,7/1/2014,0.03%,Final 2011 census result,null,null
148,Latvia,1991800,7/1/2014,0.03%,Monthly official estimate,null,null
149,Gambia,1882450,7/1/2014,0.03%,Preliminary 2013 census result,null,null
150,Kosovo,1816891,7/1/2014,0.03%,Official annual projection,null,null
151,Guinea-Bissau,1746000,7/1/2014,0.02%,UN projection,null,null
152,Gabon,1711000,7/1/2014,0.02%,UN projection,null,null
153,Equatorial Guinea,1430000,7/1/2014,0.02%,Annual official estimate,null,null
154,Trinidad and Tobago,1328019,7/1/2014,0.02%,2011 census result,null,null
155,Bahrain,1316500,7/1/2014,0.02%,Official annual projection,null,null
156,Estonia,1315819,7/1/2014,0.02%,Official estimate,null,null
157,Mauritius,1261208,7/1/2014,0.02%,Official estimate,null,null
158,Timor-Leste,1212107,7/1/2014,0.02%,Official estimate,null,null
159,Swaziland,1106189,7/1/2014,0.02%,Official projection,null,null
160,Djibouti,886000,7/1/2014,0.01%,UN projection,null,null
161,Fiji,859178,7/1/2014,0.01%,Annual official estimate,null,null
162,Cyprus,858000,7/1/2014,0.01%,Official estimate,null,null
163,* Réunion* (France),840974,7/1/2014,0.01%,Official annual estimate,null,null
164,Guyana,784894,7/1/2014,0.01%,Annual official estimate,null,null
165,Comoros,763952,7/1/2014,0.01%,Official estimate,null,null
166,Bhutan,753160,7/1/2014,0.01%,Official population clock,null,null
167,Montenegro,620029,7/1/2014,0.01%,Final 2011 census result,null,null
168,* Macau* (China),614500,7/1/2014,0.01%,Official quaterly estimate,null,null
169,Western Sahara,586000,7/1/2014,0.01%,UN projection,null,null
170,Solomon Islands,581344,7/1/2014,0.01%,Annual official estimate,null,null
171,Luxembourg,549700,7/1/2014,0.01%,Annual official estimate,null,null
172,Suriname,534189,7/1/2014,0.01%,Preliminary 2012 census result,null,null
173,Cape Verde,518467,7/1/2014,0.01%,Official annual projection,null,null
,Transnistria,505153,7/1/2014,0.01%,Official estimate,null,null
174,Malta,416055,7/1/2014,0.01%,Preliminary 2011 census result,null,null
175,* Guadeloupe* (France),405739,7/1/2014,0.01%,Official annual estimate,null,null
176,Brunei,393372,7/1/2014,0.01%,Preliminary 2011 census result,null,null
177,* Martinique* (France),386486,7/1/2014,0.01%,Official annual estimate,null,null
178,Bahamas,368390,7/1/2014,0.01%,Annual official estimate,null,null
179,Belize,349728,7/1/2014,0.00%,Official estimate,null,null
180,Maldives,341848,7/1/2014,0.00%,Official estimate,null,null
181,Iceland,328170,7/1/2014,0.00%,Official quaterly estimate,null,null
,Northern Cyprus,294906,7/1/2014,0.00%,Official census,null,null
182,Barbados,285000,7/1/2014,0.00%,Official estimate,null,null
183,* French Polynesia* (France),268270,7/1/2014,0.00%,Preliminary 2012 census result,null,null
184,Vanuatu,264652,7/1/2014,0.00%,Annual official estimate,null,null
185,* New Caledonia* (France),258958,7/1/2014,0.00%,Annual official estimate,null,null
,Abkhazia,240705,7/1/2014,0.00%,Official census,null,null
186,Franch Guyana,237549,7/1/2014,0.00%,Official annual estimate,null,null
187,* Mayotte* (France),212645,7/1/2014,0.00%,2012 census result,null,null
188,Samoa,187820,7/1/2014,0.00%,Final 2011 census result,null,null
189,São Tomé and Príncipe,187356,7/1/2014,0.00%,2012 census result,null,null
190,Saint Lucia,184000,7/1/2014,0.00%,UN projection,null,null
191,* Guam* (USA),159358,7/1/2014,0.00%,Final 2010 census result,null,null
192,* Curaçao* (Netherlands),150563,7/1/2014,0.00%,2011 census result,null,null
193,Saint Vincent and the Grenadines,109000,7/1/2014,0.00%,UN projection,null,null
194,Kiribati,106461,7/1/2014,0.00%,Annual official estimate,null,null
195,* United States Virgin Islands* (USA),106405,7/1/2014,0.00%,Final 2010 census result,null,null
196,Grenada,103328,7/1/2014,0.00%,2011 census result,null,null
197,Tonga,103252,7/1/2014,0.00%,2011 census result,null,null
198,* Aruba* (Netherlands),101484,7/1/2014,0.00%,2010 census result,null,null
199,Federated States of Micronesia,101351,7/1/2014,0.00%,Annual official estimate,null,null
200,* Jersey* (UK),99000,7/1/2014,0.00%,Annual official estimate,null,null
201,Seychelles,89949,7/1/2014,0.00%,Annual official estimate,null,null
202,Antigua and Barbuda,86295,7/1/2014,0.00%,Preliminary 2011 census result,null,null
203,* Isle of Man* (UK),84497,7/1/2014,0.00%,2011 census result,null,null
204,Andorra,76098,7/1/2014,0.00%,Annual official estimate,null,null
205,Dominica,71293,7/1/2014,0.00%,Preliminary 2011 census result,null,null
206,* Bermuda* (UK),64237,7/1/2014,0.00%,Final 2010 census result,null,null
207,* Guernsey* (UK),63085,7/1/2014,0.00%,Annual official estimate,null,null
208,Greenland,56295,7/1/2014,0.00%,Annual official estimate,null,null
209,Marshall Islands,56086,7/1/2014,0.00%,Annual official estimate,null,null
210,* American Samoa* (USA),55519,7/1/2014,0.00%,Final 2010 census result,null,null
211,* Cayman Islands* (UK),55456,7/1/2014,0.00%,Final 2010 census result,null,null
212,Saint Kitts and Nevis,55000,7/1/2014,0.00%,UN projection,null,null
213,* Northern Mariana Islands* (USA),53883,7/1/2014,0.00%,Final 2010 census result,null,null
,South Ossetia,51547,7/1/2014,0.00%,Estimate,null,null
214,* Faroe Islands* (Denmark),48723,7/1/2014,0.00%,Monthly official estimate,null,null
215,* Sint Maarten* (Netherlands),37429,7/1/2014,0.00%,Official estimate,null,null
216,Liechtenstein,37132,7/1/2014,0.00%,Semi annual official estimate,null,null
217,* Saint Martin* (France),36979,7/1/2014,0.00%,Official estimate,null,null
218,Monaco,36950,7/1/2014,0.00%,Annual official estimate,null,null
219,San Marino,32727,7/1/2014,0.00%,Monthly official estimate,null,null
220,* Turks and Caicos Islands* (UK),31458,7/1/2014,0.00%,2012 census result,null,null
221,* Gibraltar* (UK),30001,7/1/2014,0.00%,Annual official estimate,null,null
222,* British Virgin Islands* (UK),29537,7/1/2014,0.00%,Annual official estimate,null,null
223,* Åland Islands* (Finland),28875,7/1/2014,0.00%,Official estimate,null,null
224,* Caribbean Netherlands* (Netherlands),23296,7/1/2014,0.00%,Official estimate,null,null
225,Palau,20901,7/1/2014,0.00%,Annual official estimate,null,null
226,* Cook Islands* (NZ),14974,7/1/2014,0.00%,Final 2011 census result,null,null
227,* Anguilla* (UK),13452,7/1/2014,0.00%,Preliminary 2011 census result,null,null
228,* Wallis and Futuna* (France),13135,7/1/2014,0.00%,Annual official estimate,null,null
229,Tuvalu,11323,7/1/2014,0.00%,Annual official estimate,null,null
230,Nauru,10084,7/1/2014,0.00%,2011 census result,null,null
231,* Saint Barthélemy* (France),8938,7/1/2014,0.00%,Official estimate,null,null
232,* Saint Pierre and Miquelon* (France),6081,7/1/2014,0.00%,Official estimate,null,null
233,* Montserrat* (UK),4922,7/1/2014,0.00%,2011 census result,null,null
234,* Saint Helena, Ascension and Tristan da Cunha* (UK),4000,7/1/2014,0.00%,UN projection,null,null
235,* Falkland Islands* (UK),3000,7/1/2014,0.00%,UN projection,null,null
236,* Svalbard and Jan Mayen* (Norway),2655,7/1/2014,0.00%,Official estimate,null,null
237,* Norfolk Island* (Australia),2302,7/1/2014,0.00%,2011 census result,null,null
238,* Christmas Island* (Australia),2072,7/1/2014,0.00%,2011 census result,null,null
239,* Niue* (NZ),1613,7/1/2014,0.00%,Final 2011 census result,null,null
240,* Tokelau* (NZ),1411,7/1/2014,0.00%,Final 2011 census result,null,null
241,Vatican City,839,7/1/2014,0.00%,Official estimate,null,null
242,* Cocos (Keeling) Islands* (Australia),550,7/1/2014,0.00%,2011 census result,null,null
243,* Pitcairn Islands* (UK),56,7/1/2014,0.00%,Official estimate,null,null
